-22.66100157,-50.41853628
-22.66175536,-50.42059220
-22.66211597,-50.42160245
-22.66239863,-50.42252763
-22.66251564,-50.42301009
-22.66257206,-50.42331980
-22.66262360,-50.42372528
-22.66263605,-50.42409805
-22.66263651,-50.42460293
-22.66257510,-50.42519292
-22.66261984,-50.42516620
-22.66267178,-50.42460100
-22.66268167,-50.42434117
-22.66267545,-50.42401669
-22.66265569,-50.42366846
-22.66257413,-50.42310861
-22.66245055,-50.42255948
-22.66226518,-50.42198624
-22.66172319,-50.42042692
-22.66102763,-50.41853874
-22.66257434,-50.42519202
-22.66245811,-50.42609446
-22.66249185,-50.42585241
-22.66254969,-50.42564512
-22.66257194,-50.42549326
-22.66261644,-50.42516303
-22.66245759,-50.42609183
-22.66235942,-50.42706624
-22.66233606,-50.42775950
-22.66239599,-50.42849970
-22.66254921,-50.42922547
-22.66293938,-50.43024748
-22.66328266,-50.43088698
-22.66384644,-50.43156305
-22.66435067,-50.43206887
-22.66597975,-50.43342361
-22.66707499,-50.43445606
-22.66748557,-50.43482129
-22.66785033,-50.43505969
-22.66815609,-50.43519925
-22.66859597,-50.43537371
-22.66897458,-50.43546096
-22.66937691,-50.43551915
-22.66978998,-50.43551339
-22.67026629,-50.43545287
-22.67079739,-50.43532503
-22.67130704,-50.43512743
-22.67179524,-50.43482517
-22.67220583,-50.43448935
-22.67252774,-50.43413475
-22.67299988,-50.43345459
-22.67361756,-50.43251986
-22.67412187,-50.43195016
-22.67468519,-50.43150836
-22.67526044,-50.43120888
-22.67573790,-50.43105195
-22.67625290,-50.43094735
-22.67665524,-50.43094157
-22.67746906,-50.43101141
-22.68161983,-50.43142995
-22.68517472,-50.43181404
-22.68581846,-50.43187806
-22.68624225,-50.43189555
-22.68664629,-50.43186651
-22.68711837,-50.43177934
-22.68844046,-50.43143826
-22.68886963,-50.43135689
-22.68936418,-50.43131624
-22.68989526,-50.43134536
-22.69052827,-50.43145590
-22.69099615,-50.43160140
-22.69159158,-50.43188638
-22.69223529,-50.43229347
-22.69757481,-50.43566447
-22.70176769,-50.43830251
-22.70491505,-50.44028184
-22.70552118,-50.44066574
-22.70593422,-50.44089260
-22.70649211,-50.44107297
-22.70688805,-50.44110793
-22.70732258,-50.44106729
-22.70778931,-50.44093943
-22.70820716,-50.44074137
-22.70858272,-50.44045067
-22.70898511,-50.44001458
-22.70916754,-50.43974710
-22.70929633,-50.43945636
-22.70944660,-50.43898534
-22.71207839,-50.42998997
-22.71222327,-50.42946077
-22.71226084,-50.42917582
-22.71225550,-50.42882688
-22.71219114,-50.42850702
-22.71201346,-50.42802455
-22.71177208,-50.42750114
-22.70816175,-50.41968732
-22.70792035,-50.41916394
-22.70776478,-50.41881502
-22.70766285,-50.41843702
-22.70763603,-50.41806484
-22.70765749,-50.41775081
-22.70771114,-50.41742754
-22.70778624,-50.41716004
-22.70791498,-50.41688090
-22.70810810,-50.41659595
-22.70840315,-50.41629354
-22.70874111,-50.41602021
-22.70909204,-50.41572148
-22.70932271,-50.41543652
-22.70955874,-50.41500036
-22.70967676,-50.41460491
-22.70971966,-50.41412805
-22.70966064,-50.41365700
-22.70955334,-50.41326156
-22.70935484,-50.41287193
-22.70909234,-50.41253510
-22.70840566,-50.41181984
-22.70812545,-50.41140609
-22.70796986,-50.41096414
-22.70790547,-50.41055707
-22.70790544,-50.41006277
-22.70797515,-50.40953938
-22.70831662,-50.40756430
-22.70842388,-50.40707580
